pincode,LAT ,Long
143111,31.61,75.2
143112,31.54,75.23
143113,31.66,75.04
143114,31.7,75.21
143115,31.73,74.86
143116,31.69,75
143117,31.457758,74.918607
143118,31.6398,74.86
143119,31.73,75.14
143149,31.59,75.06
143201,31.53825,75.2566
143202,31.636303,75.0389951
143203,31.6308,75.3
143204,31.57,75.33
143205,31.63,75.25
143301,31.52,74.8
143302,31.53825,75.25
143303,31.35,74.69
143304,31.457758,74.918607
143305,31.7,74.61
143401,31.457758,74.918607
143402,31.5,74.89
143406,31.7,74.96
143407,31.38,75.09
143408,31.457758,74.918607
143409,32.13839,75.32315
143410,31.5032473,74.79
143411,31.39,74.92
143412,31.23,74.92
143413,31.53,74.98
143414,31.5229,74.69
143415,31.39,74.8
143416,31.67,74.54
143419,31.379829,74.77
143422,31.37,75.14
143501,31.7,74.96
143502,31.77,75.1
143504,32,74.9
143505,31.831748,75.222903
143506,31.82,75.29
143507,31.91092,74.73776
143511,31.97,75.2
143512,32.05,75.14
143513,31.93,75.03
143514,31.71,75.34
143515,31.7212,75.4359
143516,31.86,75.41
143517,31.88,75.51
143518,31.91,75.23
143519,3194,75.32
143520,32.05,75.32
143521,32.043274,75.39888
143525,32.2,75.33
143526,32.13,75.31
143527,31.81,75.49
143528,32,75.19
143529,32.01,75.37
143530,32.07,75.45
143531,32.16,75.45
143532,32.14,75.41
143533,32.15,75.58
143534,32.25,75.48
143601,31.82,75
143602,31.92,74.93
143603,32.02,74.92
143604,32.06,75.12
143605,31.97,75.05
143606,31.88,74.91
144001,31.3384,75.3531
144002,31.375,75.5112
144003,31.3154666,75.5645565
144005,31.3261,75.5768
144006,31.3168297,75.6118285
144007,31.3259412,75.6271044
144008,75.5946,31.3526
144009,31.3337438,75.6229761
144010,31.3037489,75.6446952
144020,31.2415,75.6266
144021,31.3542861,75.5464115
144022,31.2979293,75.5946604
144023,31.3143562,75.6403223
144024,31.261,75.663
144025,31.3853,75.6385
144026,31.3534,75.6171
144027,31.421559,75.5209896
144028,31.3524,75.6171
144029,31.0855,75.9167
144030,31.4128127,75.8043377
144031,31.7234516,75.4213954
144032,31.217809,75.769391
144033,31.8291381,70.9063666
144034,31.52747,75.8066
144035,31.52747,75.8066
144036,31.52747,75.8066
144037,31.52747,75.8066
144039,31.9667321,75.1975678
144040,31.3645325,75.6031295
144041,31.52747,75.8066
144042,31.52747,75.8066
144043,31.8297204,75.3320074
144044,31.52747,75.8066
144101,31.3425644,75.6713042
144102,31.4267536,75.7204004
144103,31.4294453,75.738448
144104,31.4063898,75.7548135
144105,31.89,75.45
144106,31.4738,75.7576
144201,31.5567011,75.6403179
144202,31.74,75.12
144204,31.95,75.42
144205,31.815271,75.655368
144206,31.735005,75.883544
144207,31.84,75.84
144208,31.84,75.84
144209,31.71376,75.894854
144210,31.680103,75.807914
144211,31.953765,75.614614
144212,31.688155,75.680577
144213,31.94,75.13
144214,31.924892,75.583461
144216,31.948918,75.860615
144221,31.977182,75.752634
144222,31.940885,75.801282
144223,31.869445,75.840355
144224,31.905162,75.891582
144301,31.4395057,75.6566963
144302,31.4474192,75.6332591
144303,31.479861,75.6383157
144305,31.747569,75.646665
144306,32.05,75.61
144311,31.8770678,75.4137009
